# Lista completa de marcas de cosmeticos capilares
# Formato: Marca	Marketplace	URL

Lagares Profissional	Mercado Livre	https://lagaresprofissional.com.br/
Lakkoa	Mercado Livre	https://lakkoa.com.br/
LaMine	Beleza na Web	https://laminecosmeticos.com.br/
Lana Brasiles	Beleza na Web	https://lanabrasiles.com.br/
Larree	Beleza na Web	https://larree.com.br/
LOccitane au Bresil	Mercado Livre	https://www.loccitaneaubresil.com/
LCS Hair Care	Beleza na Web	https://lcshaircare.com.br/
Le Charmes Cosmeticos	Beleza na Web	https://lecharmes.com.br/
Le Clique	Beleza na Web	https://leclique.com.br/
Le Pro Cosmetics	Beleza na Web	https://leprocosmetics.com.br/
Leader Cam	Beleza na Web	https://leadercam.com.br/
Leels	Beleza na Web	https://leels.com.br/
Left Cosmeticos	Beleza na Web	https://leftcosmeticos.com.br/
LG Terapia Capilar	Beleza na Web	https://lgterapiacapilar.com.br/
Light Hair Professional	Beleza na Web	https://lighthair.com.br/
Limme Cosmeticos	Beleza na Web	https://limmecosmeticos.com.br/
Lion	Beleza na Web	https://lion.com.br/
Liso de Dalia	Beleza na Web	https://lisodedalia.com.br/
Live Aloe	Mercado Livre	https://livealoe.com.br/
Living Proof	Beleza na Web	https://livingproof.com.br/
Lizz Professional	Beleza na Web	https://lizz.com.br/
LOF Professional	Beleza na Web	https://lofprofissional.com.br/
Lokenzzi	Beleza na Web	https://lokenzzi.com.br/
Lola From Rio	Beleza na Web	https://www.lolacosmetics.com.br/cabelos
London Cosmeticos	Beleza na Web	https://londoncosmeticos.com.br/
LOOREN	Beleza na Web	https://loorencosmeticos.com.br/
Lovenze Professional	Beleza na Web	https://lovenze.com.br/
Lowell	Beleza na Web	https://lowell.com.br/
Lucys	Mercado Livre	https://lucys.com.br/
Luminositta Professional	Beleza na Web	https://luminositta.com.br/
Lunna Shop	Beleza na Web	https://lunnashop.com.br/
M.lore Cosmetics	Beleza na Web	https://mlorecosmetics.com.br/
MAB Marco Antonio de Biaggi	Beleza na Web	https://mab.com.br/
Macpaul Professional	Beleza na Web	https://macpaul.com.br/
Madamelis Profissional	Beleza na Web	https://madamelis.com.br/
Magic Beauty	Beleza na Web	https://magicbeauty.com.br/
Magic Color	Beleza na Web	https://magiccolor.com.br/
Magic Science	Mercado Livre	https://magicscience.com.br/
Mahair Cosmetics	Beleza na Web	https://mahair.com.br/
Mahogany	Mercado Livre	https://mahogany.com.br/
Mairibel	Mercado Livre	https://mairibelcosmeticos.com.br/
Malina Beauty	Beleza na Web	https://malinabeauty.com.br/
Marco Boni	Beleza na Web	https://marcoboni.com.br/
Mari Morena	Beleza na Web	https://marimorena.com.br/
Maria Escandalosa	Beleza na Web	https://mariaescandalosa.com.br/
Maria Head Hair Spa	Beleza na Web	https://mariaheadandhairspa.com.br/
Mary Life	Beleza na Web	https://marylife.com.br/
Maxilluring	Beleza na Web	https://maxilluring.com.br/
Maxton	Beleza na Web	https://maxton.com.br/
Maycrene	Mercado Livre	https://maycrene.com.br/
Mazavie Cosmetics	Beleza na Web	https://mazavie.com.br/
Med For You Professional	Beleza na Web	https://medforyou.com.br/
Medicasp	Mercado Livre	https://medicasp.com.br/
Mega Bell	Beleza na Web	https://megabell.com.br/
Mega Profissional	Beleza na Web	https://megaprofissional.com.br/
Meidu	Mercado Livre	https://meidu.com.br/
Mel Black	Beleza na Web	https://melblack.com.br/
Menina e Mulher Cosmeticos	Beleza na Web	https://meninaemulhercosmeticos.com.br/
Meraki	Beleza na Web	https://meraki.com.br/
Mestre dos Cachos	Beleza na Web	https://mestredoscachos.com.br/
Meu Q	Beleza na Web	https://meuq.com.br/
Midori Profissional	Beleza na Web	https://midoricosmeticos.com.br/
Mio Capelli	Beleza na Web	https://miocapelli.com.br/
Mirum Kosmetikos	Beleza na Web	https://mirum.com.br/
Mojo	Beleza na Web	https://mojo.com.br/
Monohair Professional	Beleza na Web	https://monohair.com.br/
Mondial	Beleza na Web	https://mondial.com.br/
MQ Beauty	Beleza na Web	https://mqbeauty.com.br/
MQ Professional	Beleza na Web	https://mqprofessional.com.br/
Msa Cosmeticos	Mercado Livre	https://msacosmeticos.com.br/
Muriel	Beleza na Web	https://muriel.com.br/
Mutari	Beleza na Web	https://mutari.com.br/
My Brush	Beleza na Web	https://mybrush.com.br/
MyHealth	Mercado Livre	https://myhealth.com.br/
Myphios Professional	Beleza na Web	https://myphios.com.br/
Naelly ST Professional	Beleza na Web	https://naellyst.com.br/
Nando Vasconcelos	Beleza na Web	https://nandovasconcelos.com.br/
NATHYDRAS	Beleza na Web	https://nathydras.com.br/
Natura	Mercado Livre	https://natura.com.br/
Natucor	Beleza na Web	https://embelleze.com/marcas/natucor/
NatuHair	Beleza na Web	https://natuhair.com.br/
NatuMaxx	Mercado Livre	https://natumaxx.com.br/
Naturiun	Mercado Livre	https://naturiun.com.br/
Naturys	Mercado Livre	https://naturys.com.br/
Neez	Mercado Livre	https://neezprofissional.com.br/
New Old Man	Beleza na Web	https://newoldman.com.br/
New Hair	Beleza na Web	https://newhair.com.br/
Nick & Vick	Beleza na Web	https://nickvick.com.br/
Niely	Beleza na Web	https://niely.com.br/
Nivodare Professional	Beleza na Web	https://nivodare.com.br/
Nordic Smells	Beleza na Web	https://nordicsmells.com.br/
Noue	Beleza na Web	https://noue.com.br/
Novex	Beleza na Web	https://embelleze.com/marcas/novex/
Nuance Professional	Beleza na Web	https://nuanceprofessional.com.br/
Nuno Cosmeticos Naturais	Beleza na Web	https://nuno.com.br/
